date,price,dix,gex
2/24/2012,1365.73999,0.431161465,2048066404
2/27/2012,1367.589966,0.438857032,2143096789
2/28/2012,1372.180054,0.4203273,2489017761
2/29/2012,1365.680054,0.456480825,2279679894
3/1/2012,1374.089966,0.460734142,2532165991
3/2/2012,1369.630005,0.451729676,2193723807
3/5/2012,1364.329956,0.438912354,1968104282
3/6/2012,1343.359985,0.432709392,1367268859
3/7/2012,1352.630005,0.464862773,1663036075
3/8/2012,1365.910034,0.441270376,2461000862
3/9/2012,1370.869995,0.457583846,2422366519
3/12/2012,1371.089966,0.462077742,2739084140
3/13/2012,1395.949951,0.442057996,3390409713
3/14/2012,1394.280029,0.4518658,3256845975
3/15/2012,1402.599976,0.45955109,3404727489
3/16/2012,1404.170044,0.45746992,4959128417
3/19/2012,1409.75,0.419983363,2249543027
3/20/2012,1405.52002,0.418007617,2383750780
3/21/2012,1402.890015,0.435422065,2385713488
3/22/2012,1392.780029,0.433343751,2059240156
3/23/2012,1397.109985,0.432943528,1992954218
3/26/2012,1416.51001,0.422077752,2620114919
3/27/2012,1412.52002,0.425787292,2803205760
3/28/2012,1405.540039,0.446510754,2649575365
3/29/2012,1403.280029,0.457585048,2332339630
3/30/2012,1408.469971,0.423634288,2282703676
4/2/2012,1419.040039,0.4193694,2916921422
4/3/2012,1413.380005,0.446404921,3033797133
4/4/2012,1398.959961,0.446128421,2606570752
4/5/2012,1398.079956,0.440183442,2336089426
4/9/2012,1382.199951,0.442140852,2115169227
4/10/2012,1358.589966,0.448563054,1368222030
4/11/2012,1368.709961,0.464257559,1462342361
4/12/2012,1387.569946,0.443339179,1958043309
4/13/2012,1370.26001,0.445217761,1337731245
4/16/2012,1369.569946,0.402919908,1028359494
4/17/2012,1390.780029,0.428623496,2233741866
4/18/2012,1385.140015,0.4371225,2120779337
4/19/2012,1376.920044,0.436354903,1245238435
4/20/2012,1378.530029,0.397271511,1706147508
4/23/2012,1366.939941,0.425107543,888535953.6
4/24/2012,1371.969971,0.396245321,913083815.5
4/25/2012,1390.689941,0.431299042,2110801541
4/26/2012,1399.97998,0.440532015,2269777815
4/27/2012,1403.359985,0.430271156,1934055832
4/30/2012,1397.910034,0.426573934,1624605079
5/1/2012,1405.819946,0.426657166,1751590438
5/2/2012,1402.310059,0.449407761,1795486806
5/3/2012,1391.569946,0.440656552,1326585749
5/4/2012,1369.099976,0.437688094,850668974.7
5/7/2012,1369.579956,0.423449667,902222296.4
5/8/2012,1363.719971,0.456115884,710820417.3
5/9/2012,1354.579956,0.452375884,568596383
